run	lumisection	evt
302043	190	108613322
302131	743	643187792
302159	112	92543943
302322	625	506889605
302485	866	965752496
302163	205	183241174
302479	72	54417724
302474	44	37828605
302388	460	534539817
302240	920	851281768
302225	275	242866895
302525	609	721749337
302526	445	402327081
302573	857	810529890
302635	505	495205787
302596	810	920467907
302597	322	285315580
302573	272	284872557
302635	1264	1105199172
302526	69	65420472
302596	509	598904683
302573	525	527268704
302634	53	16476565
302634	60	27978974
302663	150	195211360
302597	333	295471826
302635	380	381824788
302525	560	670375050
302573	1202	1079309000
302553	47	59837145
302263	1087	890660972
302485	376	462966363
302485	854	955081250
302448	1758	1703944679
302448	1562	1553814162
302031	361	382800752
302240	469	477630566
302240	50	57898134
302448	1235	1293035273
302393	9	10367001
302474	34	28932478
302263	923	775730979
302473	352	334081981
302342	48	27699127
302654	35	45352989
302573	510	513396576
302031	808	781581679
303838	1269	1661964703
303885	754	1078472819
304333	1373	2077779998
304062	57	8544194
304169	435	680195731
304062	1568	2027160781
303838	173	225135025
304169	1467	1924115459
304797	1818	2733167299
304447	985	1622717204
304292	849	1439783416
304292	1448	2055192945
304292	1683	2252457289
303999	332	548469504
303999	336	554711837
303999	341	562034723
304671	116	147525974
304144	613	1076900383
304204	393	619404323
303838	1587	1946938494
303825	69	58234413
304797	561	998960808
304062	1074	1530976178
304062	1462	1929262219
304158	850	1090264326
304447	1273	1958400208
303838	1117	1510575358
304062	551	848047320
303885	1014	1398022038
303999	10	17684624
304158	1081	1380945657
303998	110	109955202
303832	605	750173932
303885	1418	1812598995
304125	124	229118842
304447	1504	2196748285
303885	532	767004110
304158	1534	1841395130
304292	635	1157651826
304158	1044	1336835428
303998	233	348777285
304738	1675	2458916921
303885	944	1317067182
303885	1273	1673084522
303948	1311	1877850919
304158	1381	1695902015
304333	965	1571136434
304797	1678	2605298563
304144	1626	2493983265
303948	779	1231331340
304144	1085	1846795587
303838	141	169402540
304797	616	1110517362
304292	1802	2346737177
304446	76	85735923
304447	48	88969288
304169	631	983604117
303832	1311	1432387254
303838	1316	1707372274
303885	113	98212768
304292	1372	1987768100
303948	575	926359135
303885	1809	2148344286
304506	157	268509055
303948	1136	1686916696
304738	146	258421759
304125	310	524533869
304125	380	632303833
303885	369	522023448
303885	879	1239417043
304655	422	669103051
304797	368	664623104
304125	1174	1563373194
304292	619	1133583101
304333	1642	2344679054
304333	851	1398209356
304333	1118	1779218107
304662	126	207785211
304204	209	277781151
304366	1481	2227568422
304125	180	323376583
304671	1066	1738007590
304125	1583	1919010696
304333	1394	2101026723
304508	223	350185289
304200	259	490596609
304616	164	239044440
304209	322	541208299
304366	1291	2021530176
304292	774	1346721878
304671	211	322009633
304562	70	47877215
304655	692	998325236
304616	299	462549446
304777	403	675190661
304158	945	1211387732
304508	121	192534306
304144	698	1233575544
304333	1198	1879724507
303948	958	1474197932
304062	671	1020960913
304204	563	919740334
304354	83	21232205
304062	462	708954218
304625	297	424440692
304120	172	328410686
304144	1625	2492660814
