 run  lumi   event
   1  4632  463134
   1  4633  463237
   1  4633  463291
   1  4634  463307
   1  4634  463309
   1  4634  463317
   1  4635  463414
   1  4635  463424
   1  4635  463429
   1  4635  463489
   1  4636  463503
   1  4637  463630
   1  4637  463685
   1  4638  463707
   1  4639  463830
   1  4639  463868
   1  4640  463906
   1  4640  463984
   1  4641  464025
   1  4641  464081
   1  4642  464148
   1  4642  464172
   1  4642  464174
   1  4643  464215
   1  4643  464288
   1  4644  464375
   1  4646  464506
   1  4646  464537
   1  4646  464551
   1  4648  464718
   1  4649  464826
   1  4649  464831
   1  4649  464863
   1  4650  464928
   1  4650  464940
   1  4831  483013
   1  4831  483039
   1  4832  483127
   1  4833  483212
   1  4833  483249
   1  4833  483292
   1  4834  483302
   1  4834  483382
   1  4834  483391
   1  4835  483446
   1  4835  483462
   1  4835  483457
   1  4836  483534
   1  4836  483535
   1  4837  483609
   1  4837  483655
   1  4838  483712
   1  4838  483747
   1  4838  483757
   1  4839  483826
   1  4839  483845
   1  4839  483860
   1  4841  484009
   1  4841  484063
   1  4843  484204
   1  4843  484222
   1  4843  484255
   1  4843  484288
   1  4845  484431
   1  4845  484404
   1  4845  484430
   1  4845  484442
   1  4846  484502
   1  4846  484568
   1  4846  484575
   1  4847  484615
   1  4847  484630
   1  4847  484666
   1  4848  484752
   1  4848  484769
   1  4848  484780
   1  4850  484990
   1  4852  485106
   1  4852  485168
   1  4853  485260
   1  4854  485398
   1  4855  485478
   1  4855  485500
   1  4856  485553
   1  4856  485575
   1  4857  485699
   1  4858  485701
   1  4858  485731
   1  4858  485778
   1  4858  485782
   1  4859  485838
   1  4859  485849
   1  4859  485865
   1  4859  485874
   1  4860  485950
   1  4860  485984
   1  4861  486037
   1  4861  486071
   1  4861  486080
   1  4861  486086
   1  4862  486141
   1  4862  486129
   1  4863  486211
   1  4863  486236
   1  4863  486268
   1  4863  486286
   1  4865  486434
   1  4867  486684
   1  4869  486807
   1  4869  486892
   1  4870  486913
   1  4870  486970
   1  4870  486979
   1  4871  487068
   1  4872  487134
   1  4872  487179
   1  4873  487223
   1  4875  487412
   1  4875  487416
   1  4875  487461
   1  4875  487490
   1  4876  487516
   1  4876  487563
   1  4876  487580
   1  4877  487665
   1  4877  487669
   1  4877  487679
   1  4878  487743
   1  4878  487745
   1  4879  487816
   1  4879  487809
   1  4879  487833
   1  4879  487871
   1  4879  487897
   1  4880  487919
   1  4880  487920
   1  4880  487934
   1  4880  487970
   1  4880  487990
   1  4881  488063
   1  4881  488085
   1  4881  488086
   1  4881  488082
   1  4882  488102
   1  4882  488184
   1  4883  488213
   1  4883  488287
   1  4886  488580
   1  4887  488686
   1  4890  488910
   1  4890  488907
   1  4890  489000
   1  4892  489134
   1  4892  489157
   1  4893  489241
   1  4895  489420
   1  4895  489458
   1  4895  489462
   1  4895  489491
   1  4896  489551
   1  4897  489609
   1  4897  489667
   1  4899  489831
   1  4900  489940
   1  4900  489952
   1  4900  490000
   1  4901  490071
   1  4903  490249
   1  4904  490306
   1  4904  490321
   1  4904  490356
   1  4904  490390
   1  4906  490522
   1  4906  490530
   1  4906  490547
   1  4907  490650
   1  4908  490736
   1  4909  490810
   1  4909  490834
   1  4910  490902
   1  4910  490936
   1  4911  491004
   1  4912  491127
   1  4912  491139
   1  4913  491220
   1  4913  491246
   1  4913  491255
   1  4913  491291
   1  4916  491508
   1  4916  491544
   1  4916  491557
   1  4917  491609
   1  4917  491662
   1  4919  491846
   1  4919  491871
   1  4921  492004
   1  4921  492053
   1  4921  492080
   1  4922  492112
   1  4922  492147
   1  4922  492172
   1  4923  492244
   1  4923  492272
   1  4924  492302
   1  4925  492421
   1  4925  492472
   1  4925  492491
   1  4926  492510
   1  4926  492506
   1  4926  492589
   1  4927  492622
   1  4927  492680
   1  4928  492782
   1  4929  492900
   1  4931  493032
   1  4932  493133
   1  4932  493190
   1  4933  493201
   1  4933  493233
   1  4933  493225
